scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP26,ALCWTCT3DD,40,0.339,0.001,0.001,0.001,0.01,0.001,0.025,0.292,0.17,0.124,0.323,0.243,0.064,0.291,0.269,0.61,0.122,0.001,0.485,0.001,0.001,0.001,0.001,0.357,0.012,0.348,0.277,0.001,0.061,0.111,0.159,0.148,0.001,0.001,0.214,0.153
RCP26,ALCWTCT3DD,41,0.28,0.617,0.001,0.001,0.237,0.001,0.202,0.404,0.043,0.001,0.498,0.001,0.586,0.15,0.475,0.283,0.001,0.001,0.201,0.059,0.401,0.001,0.421,0.18,0.001,0.538,0.023,0.001,0.001,0.429,0.118,0.312,0.001,0.241,0.318,0.286
RCP26,ALCWTCT3DD,42,0.305,0.627,0.203,0.266,0.028,0.194,0.001,0.587,0.247,0.001,0.436,0.223,0.401,0.581,0.515,0.001,0.033,0.402,0.062,0.61,0.355,0.127,0.303,0.158,0.001,0.468,0.261,0.001,0.104,0.141,0.122,0.284,0.001,0.559,0.001,0.228
RCP26,ALCWTCT3DD,43,0.001,0.47,0.025,0.37,0.001,0.266,0.281,0.918,0.307,0.312,0.001,0.358,0.13,0.463,0.344,0.144,0.656,0.454,0.276,0.68,0.26,0.312,0.474,0.133,0.136,0.285,0.654,0.233,0.243,0.185,0.306,0.073,0.274,0.579,0.219,0.535
RCP26,ALCWTCT3DD,44,0.001,0.649,0.575,0.271,0.001,0.001,0.33,0.67,0.309,0.084,0.243,0.384,0.001,0.261,0.249,0.763,0.368,0.022,0.747,0.361,0.22,0.538,0.01,0.364,0.111,0.175,0.237,0.475,0.143,0.001,0.309,0.001,0.492,0.583,0.001,0.373
RCP26,ALCWTCT3DD,45,0.313,0.489,0.543,0.001,0.115,0.001,0.001,0.496,0.148,0.113,0.151,0.414,0.611,0.108,0.416,1.2,0.001,0.01,0.692,0.477,0.001,0.364,0.036,0.125,0.001,0.129,0.397,0.315,0.272,0.482,0.559,0.001,0.322,0.316,0.001,0.177
RCP26,ALCWTCT3DD,46,0.078,0.188,0.447,0.749,0.387,0.448,0.4,0.001,0.001,0.263,1.124,0.224,0.54,0.829,0.259,0.612,0.043,0.056,0.364,0.001,0.153,0.001,0.204,0.286,0.022,0.19,0.46,0.418,0.001,0.568,0.228,0.313,0.001,0.06,0.373,0.001
RCP26,ALCWTCT3DD,47,0.791,0.331,0.25,0.519,0.709,0.276,0.71,0.001,0.139,0.547,0.677,0.063,0.273,1.142,0.506,0.358,0.205,0.241,0.323,0.4,0.428,0.799,0.691,0.091,0.087,0.001,0.547,0.351,0.279,0.668,0.001,0.604,0.347,0.28,0.233,0.198
RCP26,ALCWTCT3DD,48,0.805,0.368,0.29,0.236,0.594,0.4,0.661,0.83,0.001,0.001,0.077,0.068,0.087,0.534,0.519,0.355,0.942,0.227,0.338,0.788,0.496,0.737,0.214,0.227,0.001,0.102,0.218,0.45,0.291,0.351,0.265,0.086,0.497,0.431,0.202,0.018
RCP26,ALCWTCT3DD,49,0.418,0.464,0.438,0.227,0.463,0.188,0.412,1.331,0.001,0.122,0.141,0.033,0.152,0.479,0.412,0.262,0.561,0.376,0.27,0.794,0.338,0.386,0.292,0.129,0.213,0.981,0.258,0.217,0.001,0.169,0.801,0.373,0.43,0.288,0.027,0.035
RCP26,ALCWTCT3DD,50,0.442,0.283,0.304,0.138,0.377,0.275,0.529,0.134,0.364,0.212,0.281,0.001,0.227,0.823,0.132,0.283,0.177,0.031,0.224,0.696,0.278,0.396,0.296,0.001,0.286,0.212,0.073,0.622,0.235,0.001,0.569,0.441,0.242,0.025,0.09,0.096
RCP26,ALCWTCT3DD,51,0.272,0.044,0.472,0.406,0.327,0.311,0.531,1.101,0.428,0.209,0.397,0.441,0.256,0.318,0.272,0.199,0.257,0.22,0.32,0.543,0.234,0.127,0.315,0.117,0.244,0.076,0.234,0.321,0.001,0.41,0.352,0.245,0.001,0.235,0.057,0.375
RCP26,ALCWTCT3DD,52,0.419,0.357,0.172,0.251,0.17,0.089,0.285,0.46,0.328,0.269,0.001,0.302,0.343,0.051,0.413,0.18,0.234,0.252,0.001,0.607,0.375,0.084,0.527,0.378,0.243,0.509,0.001,0.293,0.241,0.627,0.303,0.001,0.588,0.329,0.105,0.391
