,Date,year,catchment,RCP26,RCP45,RCP85
3986,1981-11-30,1981,ohrid,0.0,1.1713999999999998,0.16899999999999998
3987,1981-12-01,1981,ohrid,0.0,0.13740000000000002,0.17149999999999999
3988,1981-12-02,1981,ohrid,0.0,0.14780000000000001,0.174
3989,1981-12-03,1981,ohrid,0.0,0.141,0.17525000000000002
3990,1981-12-04,1981,ohrid,0.0,0.15499999999999997,0.17725000000000002
3991,1981-12-05,1981,ohrid,0.0,0.1432,0.17875000000000002
3992,1981-12-06,1981,ohrid,0.0,0.14479999999999998,0.181
3993,1981-12-07,1981,ohrid,0.0,0.149,0.186
3994,1981-12-08,1981,ohrid,0.0,0.1574,0.19525
3995,1981-12-09,1981,ohrid,0.0,0.1582,0.1975
3996,1981-12-10,1981,ohrid,0.0,0.1602,0.2
3997,1981-12-11,1981,ohrid,0.0,0.1628,0.20224999999999999
3998,1981-12-12,1981,ohrid,0.0,0.1658,0.20425
3999,1981-12-13,1981,ohrid,0.0,0.1648,0.20600000000000002
4000,1981-12-14,1981,ohrid,0.0,0.1676,0.20700000000000002
4001,1981-12-15,1981,ohrid,0.0,0.16860000000000003,0.20825
4002,1981-12-16,1981,ohrid,0.0,0.1708,0.21175
4003,1981-12-17,1981,ohrid,0.0,0.1792,0.22375
4004,1981-12-18,1981,ohrid,0.0,0.18460000000000001,0.2305
4005,1981-12-19,1981,ohrid,0.0,0.1884,0.23249999999999998
4006,1981-12-20,1981,ohrid,0.0,0.195,0.2415
4007,1981-12-21,1981,ohrid,0.0,0.195,0.2435
4008,1981-12-22,1981,ohrid,0.0,0.1974,0.24525000000000002
4009,1981-12-23,1981,ohrid,0.0,0.1976,0.24675000000000002
4010,1981-12-24,1981,ohrid,0.0,0.20020000000000002,0.2485
4011,1981-12-25,1981,ohrid,0.0,0.20060000000000003,0.2495
4012,1981-12-26,1981,ohrid,0.0,0.20139999999999997,0.25075000000000003
4013,1981-12-27,1981,ohrid,0.0,0.20399999999999996,0.2525
4014,1981-12-28,1981,ohrid,0.0,0.41899999999999993,0.2545
4015,1981-12-29,1981,ohrid,0.0,0.20739999999999997,0.256
4016,1981-12-30,1981,ohrid,0.1415,0.223,0.33675
